gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
4067709446	Sound	audio/vnd.wave	https://static.inaturalist.org/sounds/619201.wav?1679327222	https://www.inaturalist.org/photos/619201					2023-03-20T15:47:02Z	deezs		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	deezs
4067317764	Sound	audio/mp4	https://static.inaturalist.org/sounds/613789.m4a?1678654702	https://www.inaturalist.org/photos/613789					2023-03-12T20:58:22Z	Sean Hartnett		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Sean Hartnett
4067257104	Sound	audio/vnd.wave	https://static.inaturalist.org/sounds/616867.wav?1679079897	https://www.inaturalist.org/photos/616867					2023-03-17T19:04:57Z	buteobuteo2		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	buteobuteo2
4067257104	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/261245325/original.jpeg	https://www.inaturalist.org/photos/261245325					2023-03-17T19:55:03Z	buteobuteo2		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	buteobuteo2
4067243197	Sound	audio/mpeg	https://static.inaturalist.org/sounds/617563.mp3?1679158343	https://www.inaturalist.org/photos/617563					2023-03-18T16:52:23Z	Nigel Bentley		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Nigel Bentley
4067218225	Sound	audio/mpeg	https://static.inaturalist.org/sounds/617581.mp3?1679159068	https://www.inaturalist.org/photos/617581					2023-03-18T17:04:28Z	Nigel Bentley		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Nigel Bentley
4067193877	Sound	audio/vnd.wave	https://static.inaturalist.org/sounds/615481.wav?1678908411	https://www.inaturalist.org/photos/615481					2023-03-15T19:26:51Z	Phil Miller		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Phil Miller
4067193877	Sound	audio/vnd.wave	https://static.inaturalist.org/sounds/615485.wav?1678909089	https://www.inaturalist.org/photos/615485					2023-03-15T19:38:09Z	Phil Miller		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Phil Miller
4062843873	Sound	audio/mp4	https://static.inaturalist.org/sounds/612278.m4a?1678469998	https://www.inaturalist.org/photos/612278					2023-03-10T17:39:58Z	samjaques		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	samjaques
4062767237	Sound	audio/vnd.wave	https://static.inaturalist.org/sounds/614328.wav?1678727018	https://www.inaturalist.org/photos/614328					2023-03-13T17:03:38Z	A Emmerson		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	A Emmerson
4062745678	Sound	audio/mp4	https://static.inaturalist.org/sounds/611008.m4a?1678287319	https://www.inaturalist.org/photos/611008					2023-03-08T14:55:19Z	Ollie Davis		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Ollie Davis
4062722954	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/260132816/original.jpeg	https://www.inaturalist.org/photos/260132816					2023-03-06T22:14:56Z	Otto Heringer		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Otto Heringer
4062722954	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/260132793/original.jpeg	https://www.inaturalist.org/photos/260132793					2023-03-06T22:15:13Z	Otto Heringer		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Otto Heringer
4062722954	Sound	audio/mpeg	https://static.inaturalist.org/sounds/612766.mp3?1678545457	https://www.inaturalist.org/photos/612766					2023-03-11T14:37:37Z	Otto Heringer		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Otto Heringer
4062657957	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/260135765/original.jpeg	https://www.inaturalist.org/photos/260135765					2023-03-11T12:54:00Z	Nigel Bentley		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Nigel Bentley
4062657957	Sound	audio/mpeg	https://static.inaturalist.org/sounds/612786.mp3?1678546751	https://www.inaturalist.org/photos/612786					2023-03-11T14:59:11Z	Nigel Bentley		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Nigel Bentley
4062657957	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/260135772/original.jpeg	https://www.inaturalist.org/photos/260135772					2023-03-11T12:54:00Z	Nigel Bentley		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Nigel Bentley
4062615199	Sound	audio/mpeg	https://static.inaturalist.org/sounds/613709.mp3?1678648395	https://www.inaturalist.org/photos/613709					2023-03-12T19:13:15Z	Andrew Skotnicki		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Andrew Skotnicki
4062430787	StillImage	image/png	https://xeno-canto.org/sounds/uploaded/OBYJMMWCHG/wave/XC782703-large.png			Oscillogram of the first ten seconds of the sound recording				Stichting Xeno-canto voor Natuurgeluiden			http://creativecommons.org/licenses/by-nc-sa/4.0/	Stichting Xeno-canto voor Natuurgeluiden
4062430787	StillImage	image/png	https://xeno-canto.org/sounds/uploaded/OBYJMMWCHG/ffts/XC782703-large.png			Spectrogram of the first ten seconds of the sound recording				Stichting Xeno-canto voor Natuurgeluiden			http://creativecommons.org/licenses/by-nc-sa/4.0/	Stichting Xeno-canto voor Natuurgeluiden
4062430787	Sound	audio/mpeg	https://xeno-canto.org/sounds/uploaded/OBYJMMWCHG/XC782703-gretialarm.mp3			32 s				Shaun Micklewright			http://creativecommons.org/licenses/by-nc-sa/4.0/	Shaun Micklewright
4062429425	StillImage	image/png	https://xeno-canto.org/sounds/uploaded/BTOFEKXFGW/ffts/XC779528-large.png			Spectrogram of the first ten seconds of the sound recording				Stichting Xeno-canto voor Natuurgeluiden			http://creativecommons.org/licenses/by-nc-nd/4.0/	Stichting Xeno-canto voor Natuurgeluiden
4062429425	Sound	audio/vnd.wave	https://xeno-canto.org/sounds/uploaded/BTOFEKXFGW/XC779528-230120_5022.wav			240 s				david m			http://creativecommons.org/licenses/by-nc-nd/4.0/	david m
4062429425	StillImage	image/png	https://xeno-canto.org/sounds/uploaded/BTOFEKXFGW/wave/XC779528-large.png			Oscillogram of the first ten seconds of the sound recording				Stichting Xeno-canto voor Natuurgeluiden			http://creativecommons.org/licenses/by-nc-nd/4.0/	Stichting Xeno-canto voor Natuurgeluiden
4062428670	Sound	audio/vnd.wave	https://xeno-canto.org/sounds/uploaded/BTOFEKXFGW/XC781710-140223_013.wav			46 s				david m			http://creativecommons.org/licenses/by-nc-nd/4.0/	david m
