gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
779863152	Sound	audio/mpeg	http://www.tierstimmenarchiv.de/recordings/Fa_N0186_2_Phylloscopus_collybita_043_short.mp3	http://www.tierstimmenarchiv.de/webinterface/contents/showdetails.php?edit=-1&unique_id=FAB:Phylloscopus_collybita_N_0186_2_043&autologin=true									http://creativecommons.org/licenses/by-nc-sa/4.0/	
779863151	Sound	audio/mpeg	http://www.tierstimmenarchiv.de/recordings/Fa_N0185_2_Phylloscopus_collybita_042_2_short.mp3	http://www.tierstimmenarchiv.de/webinterface/contents/showdetails.php?edit=-1&unique_id=FAB:Phylloscopus_collybita_N_0185_2_042_2&autologin=true									http://creativecommons.org/licenses/by-nc-sa/4.0/	
779863150	Sound	audio/mpeg	http://www.tierstimmenarchiv.de/recordings/Fa_N0184_Phylloscopus_collybita_042_short.mp3	http://www.tierstimmenarchiv.de/webinterface/contents/showdetails.php?edit=-1&unique_id=FAB:Phylloscopus_collybita_N_0184__042&autologin=true									http://creativecommons.org/licenses/by-nc-sa/4.0/	
779863149	Sound	audio/mpeg	http://www.tierstimmenarchiv.de/recordings/Fa_N0183_Phylloscopus_collybita_041_short.mp3	http://www.tierstimmenarchiv.de/webinterface/contents/showdetails.php?edit=-1&unique_id=FAB:Phylloscopus_collybita_N_0183__041&autologin=true									http://creativecommons.org/licenses/by-nc-sa/4.0/	
4067720548	Sound	audio/mp4	https://static.inaturalist.org/sounds/619504.m4a?1679359495	https://www.inaturalist.org/photos/619504					2023-03-21T00:44:55Z	Sven Eisenbiegler		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Sven Eisenbiegler
4067720548	Sound	audio/mp4	https://static.inaturalist.org/sounds/619505.m4a?1679359499	https://www.inaturalist.org/photos/619505					2023-03-21T00:44:59Z	Sven Eisenbiegler		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Sven Eisenbiegler
4067697473	Sound	audio/vnd.wave	https://static.inaturalist.org/sounds/619043.wav?1679312335	https://www.inaturalist.org/photos/619043					2023-03-20T11:38:55Z	claraglm		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	claraglm
4067396577	Sound	audio/mp4	https://static.inaturalist.org/sounds/619766.m4a?1679398002	https://www.inaturalist.org/photos/619766					2023-03-21T11:26:42Z	gerardbertrand		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	gerardbertrand
4067334058	Sound	audio/vnd.wave	https://static.inaturalist.org/sounds/616969.wav?1679087089	https://www.inaturalist.org/photos/616969					2023-03-17T21:04:49Z	Gaël Covain		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Gaël Covain
4067233077	Sound	audio/vnd.wave	https://static.inaturalist.org/sounds/616964.wav?1679086549	https://www.inaturalist.org/photos/616964					2023-03-17T20:55:49Z	Gaël Covain		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Gaël Covain
4067222065	Sound	audio/vnd.wave	https://static.inaturalist.org/sounds/616663.wav?1679059651	https://www.inaturalist.org/photos/616663					2023-03-17T13:27:31Z	Collin Gilles		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Collin Gilles
4062711222	Sound	audio/mp4	https://static.inaturalist.org/sounds/614161.m4a?1678709555	https://www.inaturalist.org/photos/614161					2023-03-13T12:12:35Z	Thomas Koffel		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Thomas Koffel
4062711222	Sound	audio/mp4	https://static.inaturalist.org/sounds/614162.m4a?1678709558	https://www.inaturalist.org/photos/614162					2023-03-13T12:12:38Z	Thomas Koffel		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Thomas Koffel
4062431751	Sound	audio/mpeg	https://xeno-canto.org/sounds/uploaded/THHNKSHUMO/XC782460-STE-008-Pouillot-v%C3%A9loce.mp3			5 s				Bernard BOUSQUET			http://creativecommons.org/licenses/by-nc-sa/4.0/	Bernard BOUSQUET
4062431751	StillImage	image/png	https://xeno-canto.org/sounds/uploaded/THHNKSHUMO/wave/XC782460-large.png			Oscillogram of the first ten seconds of the sound recording				Stichting Xeno-canto voor Natuurgeluiden			http://creativecommons.org/licenses/by-nc-sa/4.0/	Stichting Xeno-canto voor Natuurgeluiden
4062431751	StillImage	image/png	https://xeno-canto.org/sounds/uploaded/THHNKSHUMO/ffts/XC782460-large.png			Spectrogram of the first ten seconds of the sound recording				Stichting Xeno-canto voor Natuurgeluiden			http://creativecommons.org/licenses/by-nc-sa/4.0/	Stichting Xeno-canto voor Natuurgeluiden
4062431530	Sound	audio/mpeg	https://xeno-canto.org/sounds/uploaded/LTIHWHLJQI/XC780480-20230215_1000_pouillotveloce.mp3			27 s				Camille Vacher			http://creativecommons.org/licenses/by/4.0/	Camille Vacher
4062431530	StillImage	image/png	https://xeno-canto.org/sounds/uploaded/LTIHWHLJQI/ffts/XC780480-large.png			Spectrogram of the first ten seconds of the sound recording				Stichting Xeno-canto voor Natuurgeluiden			http://creativecommons.org/licenses/by/4.0/	Stichting Xeno-canto voor Natuurgeluiden
4062431530	StillImage	image/png	https://xeno-canto.org/sounds/uploaded/LTIHWHLJQI/wave/XC780480-large.png			Oscillogram of the first ten seconds of the sound recording				Stichting Xeno-canto voor Natuurgeluiden			http://creativecommons.org/licenses/by/4.0/	Stichting Xeno-canto voor Natuurgeluiden
4058360235	Sound	audio/vnd.wave	https://observation.org/sounds/190781.wav							P. Hovenkamp			http://creativecommons.org/licenses/by-nc-nd/4.0/	P. Hovenkamp
4058360235	Sound	audio/vnd.wave	https://observation.org/sounds/190782.wav							P. Hovenkamp			http://creativecommons.org/licenses/by-nc-nd/4.0/	P. Hovenkamp
4058360235	Sound	audio/vnd.wave	https://observation.org/sounds/190783.wav							P. Hovenkamp			http://creativecommons.org/licenses/by-nc-nd/4.0/	P. Hovenkamp
4058300919	Sound	audio/mpeg	https://observation.org/sounds/189949.mp3							Gijs van der Voet			http://creativecommons.org/licenses/by-nc-nd/4.0/	Gijs van der Voet
4058300919	Sound	audio/mpeg	https://observation.org/sounds/189950.mp3							Gijs van der Voet			http://creativecommons.org/licenses/by-nc-nd/4.0/	Gijs van der Voet
4058300919	StillImage	image/jpeg	https://observation.org/photos/62588271.jpg							Gijs van der Voet			http://creativecommons.org/licenses/by-nc-nd/4.0/	Gijs van der Voet
4058230593	StillImage	image/jpeg	https://observation.org/photos/62831084.jpg							P. Hovenkamp			http://creativecommons.org/licenses/by-nc-nd/4.0/	P. Hovenkamp
4058230593	Sound	audio/vnd.wave	https://observation.org/sounds/190780.wav							P. Hovenkamp			http://creativecommons.org/licenses/by-nc-nd/4.0/	P. Hovenkamp
